Ref_Date,City,Province,Police Dept.,Type,Geographical classification,STATISTICS,Vector,Coordinate,Value
2013,Fort Saskatchewan, Alberta, Royal Canadian Mounted Police, municipal,48800,Crime severity index,v65812973,565.9,91.35
2013,Fort Simpson, Northwest Territories, Royal Canadian Mounted Police, rural,61772,Crime severity index,v66461142,53.1,367.46
2013,Fort Smith, Northwest Territories, Royal Canadian Mounted Police, rural,61764,Crime severity index,v66461058,46.1,266.21
2013,Fort St John, British Columbia, Royal Canadian Mounted Police, municipal,59838,Crime severity index,v65814135,662.9,134.95
2013,Fox Creek, Alberta, Royal Canadian Mounted Police, municipal,48863,Crime severity index,v65813141,579.9,..
2013,Fredericton, New Brunswick,, municipal,13007,Crime severity index,v65806673,40.9,62.09
2013,Frontenac (South Frontenac), Ontario, Ontario Provincial Police, municipal,35047,Crime severity index,v65809469,273.9,30.87
2013,Gam�ti, Northwest Territories, Royal Canadian Mounted Police, rural,61002,Crime severity index,v66460734,19.1,0
2013,Gananoque, Ontario,, municipal,35114,Crime severity index,v65810021,319.9,59.54
2013,Gatineau, Quebec,, municipal,24205,Crime severity index,v65807981,149.9,..
2013,Gatineau, Quebec,, municipal,24216,Crime severity index,v65808089,158.9,59.54
2013,Gesgapegiag Ameridian, Quebec,, municipal,24122,Crime severity index,v65807417,102.9,..
2013,Gillam, Manitoba, Royal Canadian Mounted Police, municipal,46761,Crime severity index,v65811689,458.9,155.18
2013,Gimli, Manitoba, Royal Canadian Mounted Police, municipal,46791,Crime severity index,v65811785,466.9,..
2013,Gimli, Manitoba, Royal Canadian Mounted Police, municipal,46041,Crime severity index,v65811521,444.9,103.14
2013,Gjoa Haven, Northwest Territories, Royal Canadian Mounted Police, rural,61790,Crime severity index,v66461286,65.1,..
2013,Gjoa Haven, Nunavut, Royal Canadian Mounted Police, rural,62009,Crime severity index,v66461424,76.1,98.26
2013,Granby, Quebec,, municipal,24102,Crime severity index,v65807273,90.9,54.39
2013,Granby Canton, Quebec,, municipal,24095,Crime severity index,v65807249,88.9,..
2013,Grand Falls, New Brunswick,, municipal,13012,Crime severity index,v65806697,42.9,76.61
2013,Grand-m�re, Quebec,, municipal,24101,Crime severity index,v65807261,89.9,..
2013,Grande Cache, Alberta, Royal Canadian Mounted Police, municipal,48794,Crime severity index,v65812901,559.9,..
2013,Grande Prairie, Alberta, Royal Canadian Mounted Police, municipal,48846,Crime severity index,v65813057,572.9,148.67
2013,Greater Sudbury, Ontario,, municipal,35290,Crime severity index,v65810981,399.9,66.92
2013,Greenfield Park, Quebec,, municipal,24103,Crime severity index,v65807285,91.9,..
2013,Grenville County (Kemptville/Merrickville), Ontario, Ontario Provincial Police, municipal,35045,Crime severity index,v65809445,271.9,24.27
2013,Grenville County (North Grenville), Ontario, Ontario Provincial Police, municipal,35494,Crime severity index,v65811377,432.9,33.86
2013,Grenville County (Prescott), Ontario, Ontario Provincial Police, municipal,35164,Crime severity index,v65810441,354.9,94.75
2013,Grenville County (Prescott/Augusta), Ontario, Ontario Provincial Police, municipal,35044,Crime severity index,v65809433,270.9,28.36
2013,Grey County (Chatsworth), Ontario, Ontario Provincial Police, municipal,35121,Crime severity index,v65810081,324.9,28.74
2013,Grey County (Georgian Bluffs), Ontario, Ontario Provincial Police, municipal,35138,Crime severity index,v65810201,334.9,17.94
2013,Grimshaw, Alberta, Royal Canadian Mounted Police, municipal,48841,Crime severity index,v65813045,571.9,..
2013,Grise Fiord, Nunavut, Royal Canadian Mounted Police, rural,62017,Crime severity index,v66461520,84.1,0
2013,Grise Fiord, Northwest Territories, Royal Canadian Mounted Police, rural,61703,Crime severity index,v66460794,24.1,..
2013,Guelph, Ontario,, municipal,35123,Crime severity index,v65810105,326.9,43.01
2013,Haines Junction, Yukon, Royal Canadian Mounted Police, rural,60703,Crime severity index,v66460560,5.1,0
2013,Haldimand County, Ontario, Ontario Provincial Police, municipal,35142,Crime severity index,v65810249,338.9,50.86
2013,Halifax, Nova Scotia,, municipal,12020,Crime severity index,v65806373,15.9,..
2013,Hall Beach, Nunavut, Royal Canadian Mounted Police, rural,62004,Crime severity index,v66461364,71.1,0
2013,Hall Beach, Northwest Territories, Royal Canadian Mounted Police, rural,61788,Crime severity index,v66461262,63.1,..
2013,Halton Region (Oakville/Burlington), Ontario,, municipal,35048,Crime severity index,v65809481,274.9,25.54
2013,Hamilton, Ontario,, municipal,35125,Crime severity index,v65810117,327.9,64.75
2013,Hampton, New Brunswick, Royal Canadian Mounted Police, municipal,13855,Crime severity index,v65806913,60.9,31.29
2013,Hanna, Alberta, Royal Canadian Mounted Police, municipal,48714,Crime severity index,v65812685,541.9,..
2013,Hanover, Ontario,, municipal,35005,Crime severity index,v65809013,235.9,62.39
2013,Hantsport, Nova Scotia,, municipal,12021,Crime severity index,v65806385,16.9,..
2013,Harriston, Ontario,, municipal,35127,Crime severity index,v65961822,714.9,..
2013,Hawkesbury, Ontario, Ontario Provincial Police, municipal,35049,Crime severity index,v65809493,275.9,92.32
2013,Hay River, Northwest Territories, Royal Canadian Mounted Police, rural,61765,Crime severity index,v66461070,47.1,258.33
2013,Hearst, Ontario, Ontario Provincial Police, municipal,35117,Crime severity index,v65810057,322.9,56.03
2013,High Level, Alberta, Royal Canadian Mounted Police, municipal,48859,Crime severity index,v65813117,577.9,..
2013,High Prairie, Alberta, Royal Canadian Mounted Police, municipal,48850,Crime severity index,v65813069,573.9,..
2013,High River, Alberta, Royal Canadian Mounted Police, municipal,48720,Crime severity index,v65812709,543.9,54.87
2013,Highway Safety Division (Highway 407), Ontario, Ontario Provincial Police, municipal,35171,Crime severity index,v65810513,360.9,..
2013,Hinton, Alberta, Royal Canadian Mounted Police, municipal,48930,Crime severity index,v65813405,601.9,106.40
2013,Hobbema, Alberta,, municipal,48095,Crime severity index,v65961666,701.9,..
2013,Hobbema, Alberta,, municipal,48090,Crime severity index,v65812625,536.9,..
2013,Hope, British Columbia, Royal Canadian Mounted Police, municipal,59749,Crime severity index,v65813907,643.9,128.08
2013,Hudson, Quebec,, municipal,24107,Crime severity index,v65807297,92.9,..
2013,Hudson Bay, Saskatchewan, Royal Canadian Mounted Police, municipal,47751,Crime severity index,v65812121,494.9,..
2013,Hull, Quebec,, municipal,24108,Crime severity index,v65807309,93.9,..
2013,Humboldt, Saskatchewan, Royal Canadian Mounted Police, municipal,47848,Crime severity index,v65812217,502.9,76.74
2013,Huron (Goderich), Ontario, Ontario Provincial Police, municipal,35493,Crime severity index,v65811365,431.9,50.14
